content_id,client_id,is_declining_label,decline_score,model_rank,review_priority,review_outcome
content_998f6f88784c,client_f74efabef1,1,1.0,1,High,Pending human review
content_ccfad0631738,client_f74efabef1,1,0.9999999999999936,2,High,Pending human review
content_6605878eeb0d,client_a88a7902cb,1,0.9999999999999618,3,High,Pending human review
content_2d12a2ae6fc7,client_f74efabef1,1,0.9999999998492723,4,High,Pending human review
content_3844363ff6b4,client_624b60c58c,1,0.999999999562609,5,High,Pending human review
content_0390a273c940,client_a88a7902cb,1,0.9999999572731604,6,High,Pending human review
content_9507acd8f3b4,client_f74efabef1,1,0.9999998960544721,7,High,Pending human review
content_f203a581de3d,client_f74efabef1,1,0.9999998169011153,8,High,Pending human review
content_0f61f4c94440,client_a88a7902cb,1,0.9999997151502883,9,High,Pending human review
content_265c8d5277a0,client_f74efabef1,1,0.9999994218508764,10,High,Pending human review
content_595563512f86,client_f74efabef1,1,0.9999985155932448,11,High,Pending human review
content_9e0dd0d37db3,client_f74efabef1,1,0.9999974852941965,12,High,Pending human review
content_41dd7803de3b,client_a88a7902cb,1,0.9999957725498979,13,High,Pending human review
content_0d0cbb520384,client_a88a7902cb,1,0.9999926292600959,14,High,Pending human review
content_99b73d4914bf,client_f74efabef1,1,0.9999609945182855,15,High,Pending human review
content_77c9b7ea1dbd,client_f74efabef1,1,0.9999574230795895,16,High,Pending human review
content_a0a4e4f1fb85,client_a88a7902cb,1,0.9999272092184317,17,High,Pending human review
content_3b59f806a916,client_a88a7902cb,1,0.9999158207073782,18,High,Pending human review
content_ec795bf9c08e,client_a88a7902cb,1,0.9998743227476643,19,High,Pending human review
content_e3e957b1a47b,client_f74efabef1,1,0.9998469686876512,20,High,Pending human review
content_f586d866a1ee,client_a88a7902cb,1,0.9998425422565043,21,Medium,Pending human review
content_388d765d2f94,client_624b60c58c,1,0.9998144001499886,22,Medium,Pending human review
content_d7fb68efad3e,client_f74efabef1,1,0.9996916245732589,23,Medium,Pending human review
content_373d506f65e9,client_a88a7902cb,1,0.999676081343921,24,Medium,Pending human review
content_7b3dc46be1d3,client_f74efabef1,1,0.9996627448780615,25,Medium,Pending human review
content_0d6a1b98e4f6,client_f74efabef1,1,0.9996310797160729,26,Medium,Pending human review
content_16fd69d7cb31,client_f74efabef1,1,0.9996093374715107,27,Medium,Pending human review
content_ef731e95e774,client_f74efabef1,1,0.9995942480339802,28,Medium,Pending human review
content_14563c0de8b3,client_a88a7902cb,1,0.9994726923194979,29,Medium,Pending human review
content_ad9f6b0777ef,client_a88a7902cb,1,0.9994322156428844,30,Medium,Pending human review
content_9ec9942edf13,client_f74efabef1,1,0.999426084015052,31,Medium,Pending human review
content_17df7f1f7868,client_a88a7902cb,1,0.9993045961645204,32,Medium,Pending human review
content_d8992865e6a5,client_8b940be7fb,1,0.9992676363267614,33,Medium,Pending human review
content_d17fd193a251,client_a88a7902cb,1,0.9992466308925362,34,Medium,Pending human review
content_0ca3f16c5671,client_a88a7902cb,1,0.9992223564860072,35,Medium,Pending human review
content_1a0b27cdb6a1,client_f74efabef1,1,0.9991966695767436,36,Medium,Pending human review
content_9ddb96109533,client_a88a7902cb,1,0.9991925075412348,37,Medium,Pending human review
content_535aacb1d4cd,client_f74efabef1,1,0.9991502600951088,38,Medium,Pending human review
content_09107ad6b332,client_a88a7902cb,1,0.9990342763398005,39,Medium,Pending human review
content_5186d812eed4,client_f74efabef1,1,0.9989902478034288,40,Medium,Pending human review
content_ec86420576c0,client_f74efabef1,1,0.9986524200704947,41,Medium,Pending human review
content_46361d23cf75,client_a88a7902cb,1,0.9985392723855273,42,Medium,Pending human review
content_142a53c529dc,client_8b940be7fb,1,0.9983088990437035,43,Medium,Pending human review
content_813b0157b8c8,client_a88a7902cb,1,0.9983037763904722,44,Medium,Pending human review
content_def7a39a3276,client_f74efabef1,1,0.9979892858843384,45,Medium,Pending human review
content_b2f54055ce4e,client_f74efabef1,1,0.9977326995884593,46,Medium,Pending human review
content_db7d715f08ae,client_a88a7902cb,1,0.9971643934953154,47,Medium,Pending human review
content_2d88989af56c,client_a88a7902cb,1,0.9970581506120453,48,Medium,Pending human review
content_9ab644e794aa,client_f74efabef1,1,0.9966523344275491,49,Medium,Pending human review
content_9150605d8a2f,client_a88a7902cb,1,0.9966226469895013,50,Medium,Pending human review
content_c2623272bc49,client_f74efabef1,1,0.9965941743938952,51,Medium,Pending human review
content_ed30e6d83dc7,client_624b60c58c,1,0.9962532295198889,52,Medium,Pending human review
content_ef3e1e1bf3c1,client_f74efabef1,1,0.9959627436686945,53,Medium,Pending human review
content_a281d4ec75dd,client_a88a7902cb,1,0.9959546330786704,54,Medium,Pending human review
content_62e4dc7c637f,client_f74efabef1,1,0.9957827629011987,55,Medium,Pending human review
content_5118cc647c72,client_f74efabef1,1,0.9957122938611015,56,Medium,Pending human review
content_d59d6a33a9fa,client_f74efabef1,1,0.9956678331064075,57,Medium,Pending human review
content_773336009ece,client_a88a7902cb,1,0.9953080059949353,58,Medium,Pending human review
content_4b7b1433e229,client_f74efabef1,1,0.9950337287802636,59,Medium,Pending human review
content_15f87980954c,client_a88a7902cb,1,0.9949079956160959,60,Medium,Pending human review
content_3234d64d00b5,client_a88a7902cb,1,0.9939979738460961,61,Medium,Pending human review
content_307956ff38ff,client_f74efabef1,1,0.993347531601949,62,Medium,Pending human review
content_2c36c3147c23,client_f74efabef1,1,0.9931117279387084,63,Medium,Pending human review
content_1123b27c2c89,client_8b940be7fb,1,0.9925140322877992,64,Medium,Pending human review
content_2e26acd1c8aa,client_f74efabef1,1,0.9919625442235148,65,Medium,Pending human review
content_28bad8d7a667,client_f74efabef1,1,0.9919568711343523,66,Medium,Pending human review
content_e014d9a2f1f2,client_a88a7902cb,1,0.9892725175018016,67,Medium,Pending human review
content_22a4f388001a,client_f74efabef1,1,0.9867346864211481,68,Medium,Pending human review
